comment,general_negative,general_neutral,general_positive,display_negative,display_neutral,display_positive,edit_negative,edit_neutral,edit_positive,feature_negative,feature_neutral,feature_positive,backup_negative,backup_neutral,backup_positive,update_negative,update_neutral,update_positive,stability_negative,stability_neutral,stability_positive,other_negative,other_neutral,other_positive
Rất tuyệt vời khi bạn mất điện thoại vẫn không sợ bị mất hình,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rất thích khả năng lưu trữ nhiều ảnh và chức năng trợ lý,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Tôi ko hiểu tại sao bao nhiêu năm tôi dùng ko sao nhưng hôm nay tôi vào để xem ảnh nhưng ko xem đc là sao tôi mong cần phải sửa lỗi .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Sao lưu nhanh ,miễn phí. Tạo ảnh hoạt cảnh, panorama, phim tốt.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Google Đệ Tam Tuyệt.  Đẹp - Hoàn Hảo - Rất Có Ích. Thanks so much.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tải về rồi mở không lên, lưu hình giờ không xem được, không lưu hình được, rất bực, cần khắc phục nhanh",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Quyết định chuyển từ flickr sang. Thấy cái này nhanh và thông minh hơn nhiều,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tôi yêu phần mềm này. Nếu mất gmail tôi sẽ khóc mất,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rất thích và trên cả tuyệt vời, cám ơn google.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cặp nhan xg ko tu dong sao luu ma no tu dong xoa anh tu camera chup chuyen den thung rac het chon coi lai di,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ứng dụng lưu trữ ảnh và video rất tuyệt vời,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mất máy nhưng anh vẫn kon tốt lắm ung dung rat tien loi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cần thêm tíng năng có thể lưu dc ảnh vào máy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
